Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Suitable Season
23.6,54.64,32.83,Sandy,Barley,21,1,16,14-35-14,"Rabi, Kharif, Zaid, Summer"
28.75,60.69,32.81,Black,Barley,7,8,34,28-28,"Rabi, Kharif, Zaid, Summer"
33.94,62.53,22.09,Black,Barley,13,19,18,DAP,"Rabi, Kharif, Zaid, Summer"
30.89,58.68,33.78,Sandy,Maize,34,2,3,DAP,"Kharif, Rabi, Summer"
33.14,60.57,35.83,Red,Barley,25,2,23,17-17-17,"Rabi, Kharif, Zaid, Summer"
25.9,47.84,31.55,Sandy,Pulses,11,2,14,14-35-14,"Rabi, Kharif"
27.4,54.83,69.04,Loamy,Cotton,9,7,15,20-20,Kharif
29.37,62.57,51.8,Red,Wheat,10,0,45,28-28,Rabi
29.54,67.83,40.1,Loamy,Cotton,26,2,24,Urea,Kharif
39.87,60.83,56.01,Clayey,Barley,18,0,40,DAP,"Rabi, Kharif, Zaid, Summer"
22.54,44.49,64.67,Clayey,Barley,14,9,15,17-17-17,"Rabi, Kharif, Zaid, Summer"
39.58,71.07,39.53,Loamy,Pulses,7,1,39,DAP,"Rabi, Kharif"
36.66,60.99,46.13,Loamy,Wheat,42,1,0,20-20,Rabi
28.01,54.25,39.67,Red,Maize,23,4,14,28-28,"Kharif, Rabi, Summer"
25.85,59.28,48.78,Red,Barley,14,2,34,14-35-14,"Rabi, Kharif, Zaid, Summer"
27.37,52.08,45.62,Clayey,Maize,11,1,45,28-28,"Kharif, Rabi, Summer"
32.03,57.94,48.58,Clayey,Wheat,17,1,17,17-17-17,Rabi
26.9,57.31,68.61,Black,Cotton,14,12,17,14-35-14,Kharif
33.47,59.46,64.44,Sandy,Wheat,6,0,16,28-28,Rabi
31.98,60.7,35.91,Loamy,Pulses,12,12,17,Urea,"Rabi, Kharif"
32.11,71.86,56.34,Clayey,Barley,8,0,11,20-20,"Rabi, Kharif, Zaid, Summer"
24.24,45.3,68.56,Clayey,Barley,13,0,10,20-20,"Rabi, Kharif, Zaid, Summer"
29.39,58.92,32.77,Sandy,Wheat,6,20,14,20-20,Rabi
31.46,60.92,35.26,Black,Barley,10,2,39,20-20,"Rabi, Kharif, Zaid, Summer"
30.65,57.55,43.54,Black,Maize,22,0,23,Urea,"Kharif, Rabi, Summer"
28.64,69.09,42.89,Loamy,Cotton,28,2,17,14-35-14,Kharif
30.28,59.17,40.52,Red,Pulses,10,0,8,20-20,"Rabi, Kharif"
21.57,50.51,47.72,Black,Wheat,18,0,14,DAP,Rabi
33.9,74.86,57.18,Sandy,Wheat,19,0,42,Urea,Rabi
33.28,76.03,40.66,Clayey,Barley,9,17,19,28-28,"Rabi, Kharif, Zaid, Summer"
23.41,43.66,20.16,Clayey,Pulses,38,0,0,14-35-14,"Rabi, Kharif"
32.15,58.22,58.63,Clayey,Cotton,28,0,19,DAP,Kharif
22.28,49.97,42.28,Clayey,Pulses,44,0,0,Urea,"Rabi, Kharif"
39.75,66.91,26.89,Black,Barley,12,4,27,10-26-26,"Rabi, Kharif, Zaid, Summer"
30.44,68.6,66.26,Clayey,Barley,26,0,16,14-35-14,"Rabi, Kharif, Zaid, Summer"
30.22,65.07,28.06,Red,Cotton,22,1,18,Urea,Kharif
20.55,57.33,36.43,Red,Wheat,25,0,16,DAP,Rabi
30.4,60.18,28.18,Loamy,Cotton,36,0,0,DAP,Kharif
28.3,62.72,42.06,Clayey,Wheat,40,0,0,20-20,Rabi
24.26,66.8,29.59,Loamy,Barley,12,0,40,17-17-17,"Rabi, Kharif, Zaid, Summer"
36.13,61.57,35.14,Loamy,Maize,40,1,4,14-35-14,"Kharif, Rabi, Summer"
30.12,52.36,33.8,Sandy,Barley,28,0,19,28-28,"Rabi, Kharif, Zaid, Summer"
22.16,43.31,42.41,Red,Pulses,18,0,9,14-35-14,"Rabi, Kharif"
33.44,59.53,70.0,Clayey,Cotton,12,0,41,DAP,Kharif
25.78,64.69,32.38,Loamy,Barley,13,4,38,28-28,"Rabi, Kharif, Zaid, Summer"
36.0,59.46,52.35,Clayey,Wheat,9,13,10,28-28,Rabi
25.43,48.84,35.9,Black,Pulses,35,0,0,17-17-17,"Rabi, Kharif"
30.5,59.68,35.22,Black,Wheat,11,4,18,Urea,Rabi
35.42,65.57,43.67,Clayey,Pulses,44,4,0,17-17-17,"Rabi, Kharif"
30.41,64.96,48.09,Black,Pulses,10,2,33,DAP,"Rabi, Kharif"
24.68,49.97,70.0,Loamy,Barley,11,4,12,DAP,"Rabi, Kharif, Zaid, Summer"
29.32,64.15,57.63,Black,Cotton,7,10,10,28-28,Kharif
40.0,61.76,49.42,Loamy,Cotton,4,11,29,Urea,Kharif
27.8,65.85,31.27,Clayey,Wheat,9,3,26,20-20,Rabi
31.7,55.64,40.28,Sandy,Maize,13,2,13,17-17-17,"Kharif, Rabi, Summer"
29.0,65.07,70.0,Red,Maize,10,2,32,DAP,"Kharif, Rabi, Summer"
29.04,70.01,36.9,Black,Barley,12,0,13,DAP,"Rabi, Kharif, Zaid, Summer"
27.98,42.2,60.29,Clayey,Pulses,7,17,14,20-20,"Rabi, Kharif"
35.17,73.71,70.0,Loamy,Maize,12,0,35,Urea,"Kharif, Rabi, Summer"
26.03,44.6,30.68,Red,Cotton,12,7,31,20-20,Kharif
32.67,66.98,67.27,Loamy,Cotton,6,0,39,Urea,Kharif
21.28,54.65,57.82,Clayey,Cotton,8,0,4,28-28,Kharif
28.38,62.44,55.9,Black,Wheat,13,0,39,20-20,Rabi
40.0,53.38,44.17,Black,Barley,18,4,36,20-20,"Rabi, Kharif, Zaid, Summer"
27.57,58.96,56.6,Red,Wheat,13,3,39,DAP,Rabi
31.19,60.99,46.6,Red,Pulses,21,0,26,Urea,"Rabi, Kharif"
25.87,64.11,67.58,Loamy,Wheat,4,10,27,Urea,Rabi
23.29,59.14,42.14,Red,Maize,37,0,3,17-17-17,"Kharif, Rabi, Summer"
33.95,62.48,20.64,Black,Pulses,5,12,19,17-17-17,"Rabi, Kharif"
26.33,59.59,55.24,Black,Cotton,7,4,10,Urea,Kharif
27.62,67.62,64.74,Red,Barley,6,3,37,10-26-26,"Rabi, Kharif, Zaid, Summer"
27.96,53.07,59.54,Clayey,Pulses,9,4,33,17-17-17,"Rabi, Kharif"
29.25,62.0,55.15,Clayey,Barley,12,0,36,10-26-26,"Rabi, Kharif, Zaid, Summer"
23.74,55.81,61.5,Loamy,Pulses,6,9,15,DAP,"Rabi, Kharif"
25.85,48.14,39.33,Loamy,Maize,32,0,0,Urea,"Kharif, Rabi, Summer"
30.07,59.72,61.15,Clayey,Pulses,12,15,11,DAP,"Rabi, Kharif"
30.02,55.06,30.59,Red,Wheat,10,0,40,17-17-17,Rabi
21.68,57.86,23.08,Red,Pulses,16,0,12,Urea,"Rabi, Kharif"
20.42,53.57,38.87,Loamy,Cotton,5,18,17,20-20,Kharif
32.8,65.87,49.94,Clayey,Barley,33,0,0,14-35-14,"Rabi, Kharif, Zaid, Summer"
37.61,64.57,34.12,Clayey,Pulses,38,0,0,Urea,"Rabi, Kharif"
34.15,68.11,46.5,Clayey,Pulses,8,12,30,28-28,"Rabi, Kharif"
27.67,59.9,26.38,Black,Cotton,41,0,2,Urea,Kharif
27.82,57.43,30.84,Loamy,Cotton,2,15,24,DAP,Kharif
23.11,49.15,32.6,Black,Cotton,9,3,37,17-17-17,Kharif
23.46,50.44,24.32,Black,Cotton,37,0,4,14-35-14,Kharif
22.97,44.59,43.69,Clayey,Barley,19,3,28,28-28,"Rabi, Kharif, Zaid, Summer"
27.52,52.42,36.15,Red,Maize,9,0,38,DAP,"Kharif, Rabi, Summer"
30.57,64.68,51.73,Clayey,Wheat,7,12,8,DAP,Rabi
37.11,77.37,42.03,Clayey,Cotton,4,4,27,DAP,Kharif
34.97,72.4,57.83,Loamy,Wheat,21,0,23,DAP,Rabi
23.84,60.67,36.47,Sandy,Pulses,38,1,1,DAP,"Rabi, Kharif"
35.36,64.36,36.49,Loamy,Wheat,41,3,4,DAP,Rabi
27.09,62.94,50.51,Red,Wheat,11,0,38,DAP,Rabi
28.29,57.33,52.55,Clayey,Cotton,26,0,22,28-28,Kharif
29.5,50.06,63.05,Clayey,Pulses,10,0,9,20-20,"Rabi, Kharif"
25.14,46.88,28.19,Loamy,Cotton,16,3,36,DAP,Kharif
37.3,68.57,44.84,Black,Pulses,5,4,34,DAP,"Rabi, Kharif"
31.78,59.11,44.18,Black,Pulses,22,4,27,Urea,"Rabi, Kharif"
32.11,71.08,29.01,Sandy,Barley,35,0,0,10-26-26,"Rabi, Kharif, Zaid, Summer"
36.82,57.69,30.19,Red,Barley,39,0,3,28-28,"Rabi, Kharif, Zaid, Summer"
25.12,64.48,52.92,Sandy,Wheat,16,0,8,14-35-14,Rabi
28.17,50.1,57.67,Sandy,Cotton,14,0,6,17-17-17,Kharif
38.04,62.28,44.38,Clayey,Pulses,12,3,24,Urea,"Rabi, Kharif"
31.55,53.02,39.4,Clayey,Cotton,8,0,16,Urea,Kharif
29.14,59.77,42.79,Clayey,Barley,38,0,0,10-26-26,"Rabi, Kharif, Zaid, Summer"
24.6,51.17,29.76,Clayey,Wheat,32,3,0,17-17-17,Rabi
28.87,57.65,56.9,Black,Barley,11,16,14,28-28,"Rabi, Kharif, Zaid, Summer"
28.85,58.79,66.37,Sandy,Cotton,10,12,30,10-26-26,Kharif
33.72,61.76,45.98,Clayey,Maize,13,0,38,10-26-26,"Kharif, Rabi, Summer"
30.63,60.56,22.33,Black,Maize,40,0,4,Urea,"Kharif, Rabi, Summer"
27.05,50.1,30.22,Sandy,Maize,38,0,2,14-35-14,"Kharif, Rabi, Summer"
30.17,59.06,40.76,Loamy,Cotton,12,2,41,14-35-14,Kharif
40.0,67.75,57.85,Loamy,Barley,10,11,24,DAP,"Rabi, Kharif, Zaid, Summer"
38.33,58.9,40.27,Clayey,Cotton,41,1,0,14-35-14,Kharif
26.86,46.9,28.95,Clayey,Wheat,11,14,32,10-26-26,Rabi
33.04,56.04,63.33,Black,Maize,10,3,13,Urea,"Kharif, Rabi, Summer"
30.11,48.12,54.43,Red,Maize,6,2,15,28-28,"Kharif, Rabi, Summer"
20.3,44.44,41.86,Loamy,Pulses,20,4,18,14-35-14,"Rabi, Kharif"
32.86,68.29,37.77,Black,Maize,18,2,32,Urea,"Kharif, Rabi, Summer"
31.57,59.49,44.41,Loamy,Wheat,33,0,0,10-26-26,Rabi
33.92,70.37,55.46,Sandy,Cotton,24,0,17,17-17-17,Kharif
23.64,54.21,33.68,Clayey,Barley,30,1,0,Urea,"Rabi, Kharif, Zaid, Summer"
35.48,68.25,34.7,Clayey,Wheat,14,2,13,14-35-14,Rabi
39.21,74.83,33.14,Sandy,Wheat,11,10,28,14-35-14,Rabi
30.26,42.39,34.0,Black,Wheat,20,1,22,28-28,Rabi
27.72,47.55,65.62,Sandy,Wheat,40,0,0,17-17-17,Rabi
37.43,61.49,29.07,Red,Pulses,10,2,11,28-28,"Rabi, Kharif"
29.62,57.58,56.91,Clayey,Pulses,12,17,13,28-28,"Rabi, Kharif"
23.6,46.17,50.36,Red,Cotton,8,10,10,14-35-14,Kharif
38.26,65.76,29.84,Black,Pulses,23,0,22,DAP,"Rabi, Kharif"
36.67,66.99,57.65,Clayey,Pulses,35,0,0,Urea,"Rabi, Kharif"
32.15,59.62,52.44,Red,Wheat,10,1,39,28-28,Rabi
36.28,57.76,50.83,Clayey,Pulses,26,0,23,10-26-26,"Rabi, Kharif"
36.03,68.01,34.95,Red,Barley,22,0,22,20-20,"Rabi, Kharif, Zaid, Summer"
26.79,51.89,45.51,Sandy,Maize,28,4,21,14-35-14,"Kharif, Rabi, Summer"
23.96,52.37,25.81,Sandy,Maize,5,10,33,DAP,"Kharif, Rabi, Summer"
36.64,64.68,42.16,Black,Wheat,33,0,4,Urea,Rabi
33.21,79.62,35.61,Loamy,Barley,13,1,34,Urea,"Rabi, Kharif, Zaid, Summer"
24.83,54.28,62.54,Clayey,Maize,12,1,30,10-26-26,"Kharif, Rabi, Summer"
35.36,66.71,31.57,Sandy,Wheat,20,0,28,Urea,Rabi
32.94,58.58,52.48,Red,Barley,13,4,34,10-26-26,"Rabi, Kharif, Zaid, Summer"
29.13,62.34,26.54,Red,Wheat,2,12,15,17-17-17,Rabi
23.49,45.84,58.18,Clayey,Wheat,38,0,0,Urea,Rabi
24.41,56.8,34.97,Sandy,Cotton,23,1,15,14-35-14,Kharif
27.17,69.52,47.69,Sandy,Maize,16,18,10,17-17-17,"Kharif, Rabi, Summer"
35.51,72.18,36.2,Loamy,Maize,12,0,31,DAP,"Kharif, Rabi, Summer"
35.09,72.5,46.73,Sandy,Barley,38,0,0,DAP,"Rabi, Kharif, Zaid, Summer"
27.42,62.06,43.64,Clayey,Maize,20,3,20,17-17-17,"Kharif, Rabi, Summer"
34.32,59.44,33.94,Loamy,Cotton,25,0,23,DAP,Kharif
26.61,43.26,46.1,Clayey,Cotton,21,1,23,20-20,Kharif
29.58,56.08,67.27,Red,Cotton,9,0,34,10-26-26,Kharif
35.14,58.65,43.04,Sandy,Pulses,11,19,13,14-35-14,"Rabi, Kharif"
29.99,52.36,48.22,Black,Pulses,16,0,39,17-17-17,"Rabi, Kharif"
29.62,67.51,41.82,Clayey,Wheat,39,2,2,28-28,Rabi
24.59,58.67,52.83,Sandy,Cotton,16,2,39,Urea,Kharif
38.92,59.35,41.61,Clayey,Cotton,11,2,10,28-28,Kharif
24.95,54.7,25.03,Sandy,Wheat,44,0,0,DAP,Rabi
24.75,49.42,45.06,Clayey,Cotton,8,13,11,20-20,Kharif
34.76,66.83,47.24,Clayey,Wheat,9,9,15,DAP,Rabi
34.36,59.48,61.29,Sandy,Maize,3,5,30,14-35-14,"Kharif, Rabi, Summer"
33.1,52.18,63.48,Red,Wheat,6,5,33,20-20,Rabi
22.53,60.17,52.65,Loamy,Pulses,26,0,17,14-35-14,"Rabi, Kharif"
28.76,54.72,37.74,Red,Wheat,14,1,16,DAP,Rabi
25.72,60.71,43.46,Clayey,Wheat,27,2,20,28-28,Rabi
29.16,50.01,56.58,Clayey,Maize,12,11,30,14-35-14,"Kharif, Rabi, Summer"
27.65,55.35,34.36,Black,Pulses,37,3,0,14-35-14,"Rabi, Kharif"
28.03,53.76,60.86,Sandy,Wheat,13,0,10,Urea,Rabi
29.86,59.28,62.62,Sandy,Maize,25,0,19,20-20,"Kharif, Rabi, Summer"
23.9,44.45,32.53,Red,Barley,15,4,39,10-26-26,"Rabi, Kharif, Zaid, Summer"
30.2,57.56,52.01,Loamy,Wheat,27,0,19,17-17-17,Rabi
21.51,55.9,45.54,Clayey,Maize,22,3,22,28-28,"Kharif, Rabi, Summer"
29.54,54.73,69.41,Loamy,Pulses,32,0,0,DAP,"Rabi, Kharif"
25.34,51.56,38.67,Clayey,Barley,37,2,0,10-26-26,"Rabi, Kharif, Zaid, Summer"
34.03,61.12,35.57,Clayey,Cotton,8,1,40,10-26-26,Kharif
30.88,56.44,68.29,Sandy,Maize,12,0,10,20-20,"Kharif, Rabi, Summer"
30.9,68.66,34.94,Clayey,Wheat,8,0,18,20-20,Rabi
27.11,66.09,67.85,Black,Wheat,10,8,26,20-20,Rabi
27.18,59.42,53.2,Clayey,Pulses,12,11,26,Urea,"Rabi, Kharif"
30.72,62.41,35.53,Sandy,Barley,34,0,0,14-35-14,"Rabi, Kharif, Zaid, Summer"
25.98,51.85,70.0,Black,Pulses,38,1,0,Urea,"Rabi, Kharif"
28.26,50.41,34.56,Clayey,Barley,12,9,23,17-17-17,"Rabi, Kharif, Zaid, Summer"
37.61,60.54,64.55,Loamy,Maize,22,2,20,28-28,"Kharif, Rabi, Summer"
35.04,69.99,33.2,Black,Pulses,34,2,2,17-17-17,"Rabi, Kharif"
35.43,73.21,53.28,Loamy,Wheat,42,4,0,10-26-26,Rabi
21.05,45.03,70.0,Red,Cotton,31,4,0,20-20,Kharif
27.48,47.09,27.89,Black,Cotton,39,2,4,Urea,Kharif
38.11,69.4,54.47,Black,Wheat,23,0,23,14-35-14,Rabi
35.38,55.86,42.48,Sandy,Pulses,12,8,11,17-17-17,"Rabi, Kharif"
40.0,75.03,42.43,Black,Pulses,9,3,29,17-17-17,"Rabi, Kharif"
40.0,74.84,47.75,Sandy,Cotton,35,1,0,14-35-14,Kharif
29.44,50.92,34.24,Loamy,Barley,36,0,0,20-20,"Rabi, Kharif, Zaid, Summer"
27.44,54.73,62.9,Clayey,Maize,8,2,5,28-28,"Kharif, Rabi, Summer"
29.5,69.16,41.62,Loamy,Cotton,24,1,26,28-28,Kharif
31.36,52.48,65.81,Loamy,Cotton,7,10,30,17-17-17,Kharif
36.49,75.76,26.28,Black,Wheat,13,0,41,Urea,Rabi
25.35,50.13,25.76,Red,Maize,5,8,26,10-26-26,"Kharif, Rabi, Summer"
28.71,64.1,44.78,Loamy,Maize,8,0,11,14-35-14,"Kharif, Rabi, Summer"
31.77,65.53,40.43,Black,Cotton,13,14,16,28-28,Kharif
29.34,72.39,39.94,Red,Cotton,24,2,16,17-17-17,Kharif
29.0,73.39,38.46,Clayey,Wheat,35,0,0,Urea,Rabi
26.18,47.19,39.82,Loamy,Barley,33,0,0,DAP,"Rabi, Kharif, Zaid, Summer"
27.37,46.45,46.45,Clayey,Cotton,6,14,10,DAP,Kharif
30.82,56.86,48.67,Black,Pulses,1,4,24,14-35-14,"Rabi, Kharif"
23.43,46.91,62.82,Red,Pulses,35,0,4,Urea,"Rabi, Kharif"
35.77,60.14,36.61,Black,Maize,8,15,19,10-26-26,"Kharif, Rabi, Summer"
32.29,56.56,63.14,Loamy,Barley,26,2,18,10-26-26,"Rabi, Kharif, Zaid, Summer"
22.39,59.45,42.31,Red,Pulses,27,2,18,10-26-26,"Rabi, Kharif"
30.09,52.45,34.93,Black,Barley,40,0,0,20-20,"Rabi, Kharif, Zaid, Summer"
30.67,44.15,46.13,Loamy,Maize,21,0,24,28-28,"Kharif, Rabi, Summer"
34.69,71.9,21.7,Loamy,Cotton,3,9,30,Urea,Kharif
24.87,56.1,31.14,Sandy,Cotton,40,0,1,10-26-26,Kharif
33.39,71.79,31.6,Black,Wheat,11,2,39,28-28,Rabi
32.93,56.53,28.8,Clayey,Maize,11,8,27,17-17-17,"Kharif, Rabi, Summer"
26.55,70.7,64.77,Loamy,Cotton,6,10,11,DAP,Kharif
30.29,55.55,44.77,Red,Wheat,18,0,10,20-20,Rabi
21.54,43.75,56.74,Clayey,Wheat,7,0,7,10-26-26,Rabi
37.94,60.1,56.48,Loamy,Maize,8,7,25,17-17-17,"Kharif, Rabi, Summer"
30.62,46.34,61.19,Black,Barley,5,4,14,28-28,"Rabi, Kharif, Zaid, Summer"
21.95,59.83,69.07,Sandy,Wheat,38,0,0,DAP,Rabi
24.98,67.9,70.0,Loamy,Wheat,14,0,38,10-26-26,Rabi
30.49,59.19,51.04,Red,Cotton,11,16,15,20-20,Kharif
22.27,53.67,28.01,Black,Pulses,16,0,13,10-26-26,"Rabi, Kharif"
31.58,55.46,70.0,Red,Wheat,28,0,20,DAP,Rabi
26.73,56.88,29.16,Red,Maize,6,16,21,14-35-14,"Kharif, Rabi, Summer"
27.32,69.77,41.0,Loamy,Barley,8,0,6,10-26-26,"Rabi, Kharif, Zaid, Summer"
39.76,50.39,44.02,Red,Wheat,11,1,38,17-17-17,Rabi
28.09,68.54,27.88,Red,Maize,11,5,32,10-26-26,"Kharif, Rabi, Summer"
33.22,67.49,46.8,Clayey,Pulses,9,10,29,28-28,"Rabi, Kharif"
33.09,77.6,43.37,Clayey,Maize,35,0,2,Urea,"Kharif, Rabi, Summer"
35.25,53.22,40.74,Sandy,Pulses,13,4,40,DAP,"Rabi, Kharif"
32.98,67.67,45.92,Loamy,Barley,25,3,21,14-35-14,"Rabi, Kharif, Zaid, Summer"
28.48,49.43,44.67,Sandy,Barley,3,0,14,17-17-17,"Rabi, Kharif, Zaid, Summer"
28.02,48.84,51.42,Sandy,Wheat,8,3,29,28-28,Rabi
27.7,62.14,37.45,Sandy,Wheat,21,0,19,10-26-26,Rabi
28.26,59.17,33.07,Red,Pulses,35,0,0,28-28,"Rabi, Kharif"
29.26,60.97,49.42,Red,Cotton,25,0,21,14-35-14,Kharif
26.27,51.6,34.24,Sandy,Wheat,8,7,25,10-26-26,Rabi
32.53,56.56,54.29,Clayey,Pulses,26,0,16,20-20,"Rabi, Kharif"
25.72,53.66,21.91,Red,Barley,6,10,31,28-28,"Rabi, Kharif, Zaid, Summer"
28.01,42.25,31.47,Black,Maize,6,15,23,DAP,"Kharif, Rabi, Summer"
38.69,71.21,50.84,Loamy,Wheat,8,18,8,Urea,Rabi
30.33,52.42,35.68,Sandy,Wheat,22,0,13,DAP,Rabi
28.97,59.55,36.01,Sandy,Wheat,8,11,18,17-17-17,Rabi
35.45,70.4,26.6,Loamy,Maize,39,0,2,DAP,"Kharif, Rabi, Summer"
23.79,63.74,20.0,Red,Wheat,7,9,31,17-17-17,Rabi
28.78,47.92,40.88,Clayey,Pulses,16,12,14,28-28,"Rabi, Kharif"
35.87,54.52,43.39,Loamy,Pulses,17,3,37,Urea,"Rabi, Kharif"
36.29,68.59,62.11,Sandy,Pulses,37,0,0,14-35-14,"Rabi, Kharif"
24.78,60.16,32.61,Sandy,Maize,38,4,0,DAP,"Kharif, Rabi, Summer"
32.21,54.41,61.25,Clayey,Maize,15,0,13,28-28,"Kharif, Rabi, Summer"
39.02,65.96,31.19,Sandy,Cotton,10,10,30,DAP,Kharif
27.01,57.18,41.37,Clayey,Barley,38,2,0,28-28,"Rabi, Kharif, Zaid, Summer"
29.51,57.2,41.79,Loamy,Cotton,40,3,4,17-17-17,Kharif
26.13,52.53,60.62,Sandy,Maize,9,9,33,DAP,"Kharif, Rabi, Summer"
31.78,66.16,38.27,Clayey,Maize,23,0,22,20-20,"Kharif, Rabi, Summer"
28.89,52.69,65.95,Clayey,Pulses,8,0,5,14-35-14,"Rabi, Kharif"
23.98,55.96,30.85,Red,Wheat,7,19,11,Urea,Rabi
30.52,54.37,41.46,Loamy,Cotton,7,19,17,DAP,Kharif
31.74,53.09,66.97,Sandy,Cotton,13,8,28,Urea,Kharif
38.5,58.84,52.22,Black,Cotton,17,2,37,14-35-14,Kharif
31.94,71.92,36.07,Black,Maize,11,0,43,17-17-17,"Kharif, Rabi, Summer"
31.24,49.93,37.99,Black,Maize,46,3,4,17-17-17,"Kharif, Rabi, Summer"
38.94,73.94,64.07,Red,Maize,12,0,12,17-17-17,"Kharif, Rabi, Summer"
32.41,66.99,33.52,Red,Barley,26,0,17,20-20,"Rabi, Kharif, Zaid, Summer"
37.99,74.34,48.62,Clayey,Wheat,13,9,12,10-26-26,Rabi
25.88,57.09,44.64,Clayey,Cotton,10,14,17,17-17-17,Kharif
28.55,43.74,27.1,Clayey,Barley,36,4,0,20-20,"Rabi, Kharif, Zaid, Summer"
31.83,58.92,38.28,Clayey,Pulses,6,17,11,Urea,"Rabi, Kharif"
32.42,57.29,59.35,Red,Maize,36,0,0,10-26-26,"Kharif, Rabi, Summer"
33.54,62.45,27.73,Black,Maize,10,0,38,17-17-17,"Kharif, Rabi, Summer"
25.18,55.87,41.76,Sandy,Pulses,16,0,39,10-26-26,"Rabi, Kharif"
28.46,53.05,34.92,Red,Pulses,26,3,27,10-26-26,"Rabi, Kharif"
23.72,61.19,42.73,Red,Pulses,38,0,4,DAP,"Rabi, Kharif"
38.08,63.07,27.4,Black,Cotton,10,0,40,20-20,Kharif
23.23,56.75,26.54,Clayey,Wheat,14,0,3,DAP,Rabi
25.2,60.8,40.83,Black,Cotton,17,2,39,28-28,Kharif
27.51,61.14,61.53,Loamy,Pulses,8,0,39,10-26-26,"Rabi, Kharif"
36.35,64.04,65.28,Black,Barley,5,9,27,Urea,"Rabi, Kharif, Zaid, Summer"
35.94,62.93,28.98,Red,Barley,3,6,26,DAP,"Rabi, Kharif, Zaid, Summer"
34.98,76.76,43.81,Loamy,Barley,35,3,0,DAP,"Rabi, Kharif, Zaid, Summer"
25.16,56.14,61.08,Red,Pulses,12,1,35,10-26-26,"Rabi, Kharif"
38.09,65.45,47.28,Loamy,Barley,7,14,14,17-17-17,"Rabi, Kharif, Zaid, Summer"
37.0,70.38,34.26,Loamy,Pulses,18,0,15,Urea,"Rabi, Kharif"
32.35,63.44,24.13,Red,Cotton,41,4,0,14-35-14,Kharif
32.28,67.55,49.48,Red,Pulses,24,0,22,28-28,"Rabi, Kharif"
32.83,60.9,30.93,Loamy,Cotton,8,9,25,14-35-14,Kharif
35.93,63.52,47.76,Clayey,Wheat,20,0,16,Urea,Rabi
29.21,68.29,33.86,Black,Pulses,6,16,17,14-35-14,"Rabi, Kharif"
28.58,62.64,30.24,Sandy,Cotton,13,1,14,Urea,Kharif
30.6,46.79,28.45,Red,Maize,8,0,6,14-35-14,"Kharif, Rabi, Summer"
31.13,61.96,56.93,Clayey,Pulses,12,3,31,17-17-17,"Rabi, Kharif"
35.66,64.66,38.16,Loamy,Pulses,12,4,16,10-26-26,"Rabi, Kharif"
38.02,73.39,34.53,Black,Barley,40,0,0,17-17-17,"Rabi, Kharif, Zaid, Summer"
32.38,67.07,45.41,Clayey,Cotton,44,0,0,14-35-14,Kharif
28.18,56.88,55.26,Red,Cotton,23,4,18,14-35-14,Kharif
28.93,52.02,34.13,Black,Cotton,10,0,32,Urea,Kharif
26.2,53.65,56.71,Sandy,Maize,36,3,0,14-35-14,"Kharif, Rabi, Summer"
33.91,63.82,41.45,Black,Wheat,12,0,10,14-35-14,Rabi
34.79,61.91,46.9,Clayey,Wheat,38,2,0,10-26-26,Rabi
24.06,65.78,58.11,Red,Cotton,14,3,6,28-28,Kharif
27.16,54.78,41.9,Black,Pulses,17,2,32,Urea,"Rabi, Kharif"
26.78,53.14,37.57,Black,Pulses,24,0,21,Urea,"Rabi, Kharif"
26.4,65.11,55.15,Black,Pulses,3,9,37,Urea,"Rabi, Kharif"
30.74,54.35,61.21,Sandy,Cotton,16,0,8,20-20,Kharif
25.11,48.12,62.98,Loamy,Pulses,15,4,30,10-26-26,"Rabi, Kharif"
38.91,64.93,39.42,Sandy,Pulses,38,2,1,DAP,"Rabi, Kharif"
26.05,58.12,35.26,Black,Pulses,28,4,20,20-20,"Rabi, Kharif"
34.2,64.85,39.67,Clayey,Maize,13,0,36,10-26-26,"Kharif, Rabi, Summer"
34.06,71.7,43.15,Red,Barley,12,12,28,28-28,"Rabi, Kharif, Zaid, Summer"
21.36,56.53,34.78,Black,Maize,3,15,24,28-28,"Kharif, Rabi, Summer"
22.72,44.19,24.65,Black,Pulses,38,0,3,14-35-14,"Rabi, Kharif"
24.5,42.83,57.23,Loamy,Cotton,24,0,22,Urea,Kharif
21.14,58.75,31.2,Loamy,Maize,14,0,13,DAP,"Kharif, Rabi, Summer"
30.21,50.79,37.79,Clayey,Barley,5,1,16,Urea,"Rabi, Kharif, Zaid, Summer"
29.63,58.39,64.42,Sandy,Barley,8,1,11,28-28,"Rabi, Kharif, Zaid, Summer"
30.87,74.24,62.38,Clayey,Maize,7,16,9,14-35-14,"Kharif, Rabi, Summer"
31.0,64.07,51.2,Black,Wheat,13,3,11,28-28,Rabi
30.47,58.88,38.22,Red,Pulses,20,2,18,17-17-17,"Rabi, Kharif"
24.62,63.54,33.9,Loamy,Wheat,43,0,0,Urea,Rabi
34.5,61.62,61.48,Red,Cotton,6,11,29,28-28,Kharif
28.91,60.07,39.93,Black,Barley,34,0,3,20-20,"Rabi, Kharif, Zaid, Summer"
38.41,74.99,25.39,Black,Maize,9,0,36,Urea,"Kharif, Rabi, Summer"
33.3,57.9,57.26,Black,Pulses,13,1,39,17-17-17,"Rabi, Kharif"
