Temparature,Humidity,Soil Type,Crop Type,Suitable Season
31.35,67.11,Loamy,Pulses,"Rabi, Kharif"
26.82,51.3,Red,Barley,"Rabi, Kharif, Zaid, Summer"
26.78,65.69,Sandy,Maize,"Kharif, Rabi, Summer"
37.79,66.43,Black,Maize,"Kharif, Rabi, Summer"
28.25,54.74,Red,Maize,"Kharif, Rabi, Summer"
26.16,45.71,Clayey,Pulses,"Rabi, Kharif"
33.66,67.43,Sandy,Pulses,"Rabi, Kharif"
34.91,57.74,Clayey,Maize,"Kharif, Rabi, Summer"
25.64,57.81,Black,Pulses,"Rabi, Kharif"
35.95,56.17,Black,Wheat,Rabi
38.15,76.07,Black,Wheat,Rabi
27.97,61.87,Black,Maize,"Kharif, Rabi, Summer"
32.21,69.43,Red,Wheat,Rabi
35.52,75.0,Black,Maize,"Kharif, Rabi, Summer"
27.25,57.18,Clayey,Maize,"Kharif, Rabi, Summer"
38.74,72.41,Red,Pulses,"Rabi, Kharif"
26.87,52.34,Black,Cotton,Kharif
33.62,61.17,Clayey,Wheat,Rabi
31.47,70.69,Black,Maize,"Kharif, Rabi, Summer"
20.18,49.8,Red,Maize,"Kharif, Rabi, Summer"
29.22,51.72,Black,Wheat,Rabi
35.95,72.98,Clayey,Wheat,Rabi
26.12,58.73,Clayey,Wheat,Rabi
31.88,52.97,Black,Cotton,Kharif
29.43,65.58,Clayey,Maize,"Kharif, Rabi, Summer"
27.43,56.68,Clayey,Wheat,Rabi
32.66,59.5,Black,Pulses,"Rabi, Kharif"
27.51,55.86,Black,Barley,"Rabi, Kharif, Zaid, Summer"
29.29,69.9,Black,Maize,"Kharif, Rabi, Summer"
32.07,63.03,Sandy,Maize,"Kharif, Rabi, Summer"
29.43,62.46,Black,Barley,"Rabi, Kharif, Zaid, Summer"
40.0,76.58,Clayey,Pulses,"Rabi, Kharif"
33.82,63.87,Black,Wheat,Rabi
36.91,75.0,Clayey,Wheat,Rabi
28.56,69.25,Red,Barley,"Rabi, Kharif, Zaid, Summer"
25.83,42.5,Clayey,Cotton,Kharif
27.78,57.1,Black,Barley,"Rabi, Kharif, Zaid, Summer"
23.56,56.69,Red,Pulses,"Rabi, Kharif"
34.32,61.36,Black,Maize,"Kharif, Rabi, Summer"
29.16,51.25,Red,Wheat,Rabi
33.55,69.48,Clayey,Cotton,Kharif
39.78,72.13,Clayey,Maize,"Kharif, Rabi, Summer"
26.29,44.72,Clayey,Pulses,"Rabi, Kharif"
21.36,46.46,Clayey,Cotton,Kharif
30.85,62.03,Clayey,Cotton,Kharif
32.9,63.12,Black,Barley,"Rabi, Kharif, Zaid, Summer"
31.91,46.26,Black,Pulses,"Rabi, Kharif"
30.02,66.49,Loamy,Maize,"Kharif, Rabi, Summer"
26.05,51.23,Loamy,Maize,"Kharif, Rabi, Summer"
29.61,70.12,Red,Barley,"Rabi, Kharif, Zaid, Summer"
33.0,55.09,Black,Pulses,"Rabi, Kharif"
32.12,68.28,Red,Barley,"Rabi, Kharif, Zaid, Summer"
29.17,64.55,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
24.82,45.77,Clayey,Cotton,Kharif
31.98,45.3,Loamy,Pulses,"Rabi, Kharif"
31.7,73.98,Loamy,Pulses,"Rabi, Kharif"
30.25,60.34,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
26.29,62.82,Red,Barley,"Rabi, Kharif, Zaid, Summer"
35.77,67.17,Black,Maize,"Kharif, Rabi, Summer"
27.14,68.62,Sandy,Wheat,Rabi
33.14,50.64,Loamy,Maize,"Kharif, Rabi, Summer"
25.7,57.86,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
27.27,42.2,Loamy,Wheat,Rabi
28.48,55.48,Loamy,Maize,"Kharif, Rabi, Summer"
26.12,60.43,Black,Cotton,Kharif
35.57,70.66,Black,Wheat,Rabi
38.93,72.28,Red,Cotton,Kharif
29.27,65.89,Sandy,Wheat,Rabi
29.55,60.62,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
29.91,45.99,Sandy,Cotton,Kharif
32.92,60.86,Clayey,Maize,"Kharif, Rabi, Summer"
36.6,61.48,Black,Cotton,Kharif
32.46,62.03,Red,Cotton,Kharif
31.52,57.93,Clayey,Maize,"Kharif, Rabi, Summer"
26.33,58.16,Red,Barley,"Rabi, Kharif, Zaid, Summer"
25.7,62.98,Sandy,Pulses,"Rabi, Kharif"
24.07,54.47,Loamy,Pulses,"Rabi, Kharif"
29.52,56.55,Clayey,Cotton,Kharif
20.55,42.03,Black,Barley,"Rabi, Kharif, Zaid, Summer"
30.33,51.05,Clayey,Cotton,Kharif
31.72,45.26,Clayey,Maize,"Kharif, Rabi, Summer"
29.8,59.73,Red,Barley,"Rabi, Kharif, Zaid, Summer"
34.15,57.16,Sandy,Cotton,Kharif
30.83,57.02,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
21.49,46.99,Sandy,Cotton,Kharif
25.86,45.62,Red,Barley,"Rabi, Kharif, Zaid, Summer"
29.91,60.03,Clayey,Cotton,Kharif
27.33,55.62,Clayey,Pulses,"Rabi, Kharif"
34.51,68.73,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
32.14,71.89,Loamy,Pulses,"Rabi, Kharif"
34.01,63.87,Clayey,Wheat,Rabi
28.81,54.94,Black,Barley,"Rabi, Kharif, Zaid, Summer"
32.43,56.6,Red,Wheat,Rabi
29.84,65.34,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
38.76,56.94,Sandy,Cotton,Kharif
35.24,66.47,Red,Cotton,Kharif
28.0,58.95,Red,Pulses,"Rabi, Kharif"
30.76,50.1,Clayey,Maize,"Kharif, Rabi, Summer"
30.4,52.84,Clayey,Maize,"Kharif, Rabi, Summer"
23.54,47.71,Red,Barley,"Rabi, Kharif, Zaid, Summer"
29.87,52.38,Black,Pulses,"Rabi, Kharif"
31.73,51.82,Sandy,Maize,"Kharif, Rabi, Summer"
25.36,62.76,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
32.1,65.89,Clayey,Wheat,Rabi
36.17,73.15,Black,Cotton,Kharif
31.23,66.32,Red,Wheat,Rabi
31.19,71.44,Loamy,Maize,"Kharif, Rabi, Summer"
29.35,61.82,Sandy,Pulses,"Rabi, Kharif"
32.63,66.83,Red,Cotton,Kharif
34.33,58.34,Sandy,Cotton,Kharif
30.66,66.4,Loamy,Pulses,"Rabi, Kharif"
30.59,56.93,Loamy,Cotton,Kharif
29.75,47.56,Clayey,Cotton,Kharif
39.45,73.14,Sandy,Maize,"Kharif, Rabi, Summer"
26.27,55.47,Red,Wheat,Rabi
34.92,58.53,Clayey,Cotton,Kharif
22.93,52.54,Sandy,Cotton,Kharif
26.38,49.88,Black,Maize,"Kharif, Rabi, Summer"
34.28,68.8,Loamy,Cotton,Kharif
35.49,70.58,Clayey,Maize,"Kharif, Rabi, Summer"
32.6,53.68,Clayey,Pulses,"Rabi, Kharif"
32.15,57.42,Red,Wheat,Rabi
32.8,61.46,Sandy,Wheat,Rabi
39.01,65.01,Clayey,Pulses,"Rabi, Kharif"
32.04,64.28,Black,Barley,"Rabi, Kharif, Zaid, Summer"
24.12,50.26,Loamy,Wheat,Rabi
27.71,53.42,Black,Maize,"Kharif, Rabi, Summer"
23.9,43.28,Clayey,Pulses,"Rabi, Kharif"
30.41,63.03,Clayey,Maize,"Kharif, Rabi, Summer"
24.86,58.35,Red,Wheat,Rabi
28.41,61.99,Red,Maize,"Kharif, Rabi, Summer"
37.05,66.11,Black,Pulses,"Rabi, Kharif"
31.39,61.78,Red,Maize,"Kharif, Rabi, Summer"
28.51,55.93,Red,Cotton,Kharif
25.28,50.64,Red,Pulses,"Rabi, Kharif"
36.27,74.55,Sandy,Cotton,Kharif
40.0,72.78,Red,Pulses,"Rabi, Kharif"
29.35,67.05,Black,Cotton,Kharif
28.09,50.46,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
28.96,54.32,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
27.67,57.87,Clayey,Pulses,"Rabi, Kharif"
29.34,49.57,Loamy,Maize,"Kharif, Rabi, Summer"
28.57,50.93,Red,Maize,"Kharif, Rabi, Summer"
38.15,59.18,Clayey,Cotton,Kharif
37.11,70.83,Clayey,Cotton,Kharif
33.3,61.33,Black,Pulses,"Rabi, Kharif"
26.17,53.24,Black,Barley,"Rabi, Kharif, Zaid, Summer"
34.55,58.92,Black,Wheat,Rabi
34.69,78.28,Black,Pulses,"Rabi, Kharif"
29.02,67.93,Clayey,Pulses,"Rabi, Kharif"
38.69,61.57,Black,Cotton,Kharif
25.55,62.37,Loamy,Cotton,Kharif
31.75,58.98,Clayey,Pulses,"Rabi, Kharif"
24.18,53.12,Clayey,Maize,"Kharif, Rabi, Summer"
30.65,47.72,Clayey,Maize,"Kharif, Rabi, Summer"
34.12,63.6,Red,Maize,"Kharif, Rabi, Summer"
36.7,62.62,Red,Barley,"Rabi, Kharif, Zaid, Summer"
34.03,55.38,Sandy,Cotton,Kharif
33.42,65.41,Black,Maize,"Kharif, Rabi, Summer"
34.35,67.37,Red,Cotton,Kharif
27.52,62.28,Sandy,Pulses,"Rabi, Kharif"
33.97,73.31,Sandy,Wheat,Rabi
24.13,65.79,Red,Wheat,Rabi
37.53,67.28,Clayey,Maize,"Kharif, Rabi, Summer"
27.94,59.27,Black,Cotton,Kharif
30.71,58.51,Sandy,Maize,"Kharif, Rabi, Summer"
35.46,70.84,Black,Maize,"Kharif, Rabi, Summer"
33.82,61.25,Black,Cotton,Kharif
22.51,50.31,Clayey,Maize,"Kharif, Rabi, Summer"
32.06,78.41,Loamy,Wheat,Rabi
28.74,51.47,Clayey,Maize,"Kharif, Rabi, Summer"
38.31,77.54,Black,Wheat,Rabi
33.09,65.12,Red,Pulses,"Rabi, Kharif"
22.76,48.08,Loamy,Maize,"Kharif, Rabi, Summer"
23.01,46.97,Sandy,Maize,"Kharif, Rabi, Summer"
36.87,74.71,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
26.86,50.54,Loamy,Pulses,"Rabi, Kharif"
30.79,62.82,Black,Barley,"Rabi, Kharif, Zaid, Summer"
37.88,56.28,Sandy,Pulses,"Rabi, Kharif"
29.22,68.58,Clayey,Pulses,"Rabi, Kharif"
34.83,74.84,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
40.0,72.53,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
32.31,65.98,Red,Wheat,Rabi
27.78,63.49,Red,Maize,"Kharif, Rabi, Summer"
30.03,59.76,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
36.31,72.79,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
25.53,60.96,Black,Pulses,"Rabi, Kharif"
32.69,55.03,Black,Cotton,Kharif
30.11,57.34,Loamy,Pulses,"Rabi, Kharif"
32.34,57.71,Loamy,Maize,"Kharif, Rabi, Summer"
38.64,77.51,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
27.61,69.47,Black,Maize,"Kharif, Rabi, Summer"
27.55,50.87,Loamy,Wheat,Rabi
27.77,68.01,Black,Cotton,Kharif
27.26,62.16,Black,Barley,"Rabi, Kharif, Zaid, Summer"
33.35,65.13,Clayey,Wheat,Rabi
32.29,62.66,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
37.6,61.35,Red,Barley,"Rabi, Kharif, Zaid, Summer"
34.08,67.3,Black,Wheat,Rabi
38.16,64.57,Sandy,Cotton,Kharif
34.31,75.92,Clayey,Cotton,Kharif
28.13,62.39,Loamy,Cotton,Kharif
25.04,66.1,Clayey,Pulses,"Rabi, Kharif"
33.39,58.29,Black,Wheat,Rabi
28.99,57.8,Black,Wheat,Rabi
31.7,60.31,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
28.82,62.02,Clayey,Maize,"Kharif, Rabi, Summer"
27.83,55.13,Loamy,Wheat,Rabi
35.85,70.43,Black,Wheat,Rabi
36.08,58.63,Black,Cotton,Kharif
32.87,55.38,Loamy,Maize,"Kharif, Rabi, Summer"
33.54,64.83,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
24.47,48.83,Clayey,Pulses,"Rabi, Kharif"
30.37,59.55,Sandy,Cotton,Kharif
34.67,56.47,Black,Cotton,Kharif
30.85,62.67,Loamy,Maize,"Kharif, Rabi, Summer"
31.2,58.13,Clayey,Maize,"Kharif, Rabi, Summer"
24.66,51.66,Black,Wheat,Rabi
26.88,54.41,Clayey,Maize,"Kharif, Rabi, Summer"
24.84,54.15,Clayey,Maize,"Kharif, Rabi, Summer"
35.87,59.89,Clayey,Pulses,"Rabi, Kharif"
28.48,54.42,Red,Maize,"Kharif, Rabi, Summer"
21.71,58.45,Sandy,Pulses,"Rabi, Kharif"
37.74,72.77,Clayey,Pulses,"Rabi, Kharif"
40.0,74.04,Black,Cotton,Kharif
31.34,61.15,Black,Pulses,"Rabi, Kharif"
35.75,63.57,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
28.63,52.84,Clayey,Maize,"Kharif, Rabi, Summer"
32.94,72.52,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
33.02,49.45,Black,Barley,"Rabi, Kharif, Zaid, Summer"
37.66,55.23,Clayey,Maize,"Kharif, Rabi, Summer"
34.19,63.11,Clayey,Cotton,Kharif
36.31,62.76,Sandy,Wheat,Rabi
30.0,48.39,Clayey,Maize,"Kharif, Rabi, Summer"
23.83,52.78,Black,Pulses,"Rabi, Kharif"
22.61,51.15,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
38.07,67.05,Sandy,Wheat,Rabi
25.38,57.54,Black,Barley,"Rabi, Kharif, Zaid, Summer"
31.02,47.08,Loamy,Pulses,"Rabi, Kharif"
29.42,56.7,Black,Maize,"Kharif, Rabi, Summer"
25.84,57.48,Red,Pulses,"Rabi, Kharif"
33.46,60.18,Black,Maize,"Kharif, Rabi, Summer"
40.0,67.16,Sandy,Cotton,Kharif
35.64,57.39,Loamy,Cotton,Kharif
28.35,55.27,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
26.26,49.17,Loamy,Pulses,"Rabi, Kharif"
34.76,56.86,Red,Wheat,Rabi
28.53,57.4,Clayey,Wheat,Rabi
23.52,62.06,Red,Wheat,Rabi
36.27,58.72,Loamy,Pulses,"Rabi, Kharif"
34.33,61.6,Clayey,Maize,"Kharif, Rabi, Summer"
25.38,61.44,Sandy,Wheat,Rabi
26.37,46.29,Black,Cotton,Kharif
26.38,57.12,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
26.28,53.99,Sandy,Cotton,Kharif
40.0,68.47,Red,Maize,"Kharif, Rabi, Summer"
38.66,61.44,Black,Pulses,"Rabi, Kharif"
33.81,55.89,Clayey,Pulses,"Rabi, Kharif"
33.41,53.69,Red,Barley,"Rabi, Kharif, Zaid, Summer"
29.76,60.63,Black,Wheat,Rabi
31.81,66.62,Sandy,Pulses,"Rabi, Kharif"
29.8,65.49,Sandy,Cotton,Kharif
29.2,62.74,Black,Maize,"Kharif, Rabi, Summer"
24.98,62.27,Clayey,Maize,"Kharif, Rabi, Summer"
30.73,64.04,Black,Cotton,Kharif
38.05,68.85,Black,Wheat,Rabi
32.47,67.69,Loamy,Wheat,Rabi
35.18,74.22,Sandy,Wheat,Rabi
27.15,60.37,Red,Wheat,Rabi
37.89,61.9,Loamy,Cotton,Kharif
31.28,61.86,Black,Maize,"Kharif, Rabi, Summer"
23.56,43.25,Black,Cotton,Kharif
24.45,57.16,Black,Barley,"Rabi, Kharif, Zaid, Summer"
31.01,70.62,Sandy,Pulses,"Rabi, Kharif"
32.1,57.13,Clayey,Pulses,"Rabi, Kharif"
33.03,66.07,Red,Cotton,Kharif
33.02,65.44,Loamy,Wheat,Rabi
29.16,53.59,Sandy,Pulses,"Rabi, Kharif"
26.27,48.43,Loamy,Maize,"Kharif, Rabi, Summer"
35.1,61.71,Red,Cotton,Kharif
24.59,47.16,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
29.4,52.91,Black,Pulses,"Rabi, Kharif"
28.05,52.74,Sandy,Pulses,"Rabi, Kharif"
25.75,55.81,Clayey,Wheat,Rabi
29.62,61.0,Black,Maize,"Kharif, Rabi, Summer"
31.15,59.56,Black,Cotton,Kharif
31.33,67.83,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
38.04,73.24,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
29.22,57.29,Clayey,Wheat,Rabi
30.67,66.76,Sandy,Maize,"Kharif, Rabi, Summer"
30.39,54.66,Black,Barley,"Rabi, Kharif, Zaid, Summer"
24.04,44.61,Loamy,Pulses,"Rabi, Kharif"
24.04,54.47,Black,Barley,"Rabi, Kharif, Zaid, Summer"
23.6,54.64,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
28.75,60.69,Black,Barley,"Rabi, Kharif, Zaid, Summer"
33.94,62.53,Black,Barley,"Rabi, Kharif, Zaid, Summer"
30.89,58.68,Sandy,Maize,"Kharif, Rabi, Summer"
33.14,60.57,Red,Barley,"Rabi, Kharif, Zaid, Summer"
25.9,47.84,Sandy,Pulses,"Rabi, Kharif"
27.4,54.83,Loamy,Cotton,Kharif
29.37,62.57,Red,Wheat,Rabi
29.54,67.83,Loamy,Cotton,Kharif
39.87,60.83,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
22.54,44.49,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
39.58,71.07,Loamy,Pulses,"Rabi, Kharif"
36.66,60.99,Loamy,Wheat,Rabi
28.01,54.25,Red,Maize,"Kharif, Rabi, Summer"
25.85,59.28,Red,Barley,"Rabi, Kharif, Zaid, Summer"
27.37,52.08,Clayey,Maize,"Kharif, Rabi, Summer"
32.03,57.94,Clayey,Wheat,Rabi
26.9,57.31,Black,Cotton,Kharif
33.47,59.46,Sandy,Wheat,Rabi
31.98,60.7,Loamy,Pulses,"Rabi, Kharif"
32.11,71.86,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
24.24,45.3,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
29.39,58.92,Sandy,Wheat,Rabi
31.46,60.92,Black,Barley,"Rabi, Kharif, Zaid, Summer"
30.65,57.55,Black,Maize,"Kharif, Rabi, Summer"
28.64,69.09,Loamy,Cotton,Kharif
30.28,59.17,Red,Pulses,"Rabi, Kharif"
21.57,50.51,Black,Wheat,Rabi
33.9,74.86,Sandy,Wheat,Rabi
33.28,76.03,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
23.41,43.66,Clayey,Pulses,"Rabi, Kharif"
32.15,58.22,Clayey,Cotton,Kharif
22.28,49.97,Clayey,Pulses,"Rabi, Kharif"
39.75,66.91,Black,Barley,"Rabi, Kharif, Zaid, Summer"
30.44,68.6,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
30.22,65.07,Red,Cotton,Kharif
20.55,57.33,Red,Wheat,Rabi
30.4,60.18,Loamy,Cotton,Kharif
28.3,62.72,Clayey,Wheat,Rabi
24.26,66.8,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
36.13,61.57,Loamy,Maize,"Kharif, Rabi, Summer"
30.12,52.36,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
22.16,43.31,Red,Pulses,"Rabi, Kharif"
33.44,59.53,Clayey,Cotton,Kharif
25.78,64.69,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
36.0,59.46,Clayey,Wheat,Rabi
25.43,48.84,Black,Pulses,"Rabi, Kharif"
30.5,59.68,Black,Wheat,Rabi
35.42,65.57,Clayey,Pulses,"Rabi, Kharif"
30.41,64.96,Black,Pulses,"Rabi, Kharif"
24.68,49.97,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
29.32,64.15,Black,Cotton,Kharif
40.0,61.76,Loamy,Cotton,Kharif
27.8,65.85,Clayey,Wheat,Rabi
31.7,55.64,Sandy,Maize,"Kharif, Rabi, Summer"
29.0,65.07,Red,Maize,"Kharif, Rabi, Summer"
29.04,70.01,Black,Barley,"Rabi, Kharif, Zaid, Summer"
27.98,42.2,Clayey,Pulses,"Rabi, Kharif"
35.17,73.71,Loamy,Maize,"Kharif, Rabi, Summer"
26.03,44.6,Red,Cotton,Kharif
32.67,66.98,Loamy,Cotton,Kharif
21.28,54.65,Clayey,Cotton,Kharif
28.38,62.44,Black,Wheat,Rabi
40.0,53.38,Black,Barley,"Rabi, Kharif, Zaid, Summer"
27.57,58.96,Red,Wheat,Rabi
31.19,60.99,Red,Pulses,"Rabi, Kharif"
25.87,64.11,Loamy,Wheat,Rabi
23.29,59.14,Red,Maize,"Kharif, Rabi, Summer"
33.95,62.48,Black,Pulses,"Rabi, Kharif"
26.33,59.59,Black,Cotton,Kharif
27.62,67.62,Red,Barley,"Rabi, Kharif, Zaid, Summer"
27.96,53.07,Clayey,Pulses,"Rabi, Kharif"
29.25,62.0,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
23.74,55.81,Loamy,Pulses,"Rabi, Kharif"
25.85,48.14,Loamy,Maize,"Kharif, Rabi, Summer"
30.07,59.72,Clayey,Pulses,"Rabi, Kharif"
30.02,55.06,Red,Wheat,Rabi
21.68,57.86,Red,Pulses,"Rabi, Kharif"
20.42,53.57,Loamy,Cotton,Kharif
32.8,65.87,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
37.61,64.57,Clayey,Pulses,"Rabi, Kharif"
34.15,68.11,Clayey,Pulses,"Rabi, Kharif"
27.67,59.9,Black,Cotton,Kharif
27.82,57.43,Loamy,Cotton,Kharif
23.11,49.15,Black,Cotton,Kharif
23.46,50.44,Black,Cotton,Kharif
22.97,44.59,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
27.52,52.42,Red,Maize,"Kharif, Rabi, Summer"
30.57,64.68,Clayey,Wheat,Rabi
37.11,77.37,Clayey,Cotton,Kharif
34.97,72.4,Loamy,Wheat,Rabi
23.84,60.67,Sandy,Pulses,"Rabi, Kharif"
35.36,64.36,Loamy,Wheat,Rabi
27.09,62.94,Red,Wheat,Rabi
28.29,57.33,Clayey,Cotton,Kharif
29.5,50.06,Clayey,Pulses,"Rabi, Kharif"
25.14,46.88,Loamy,Cotton,Kharif
37.3,68.57,Black,Pulses,"Rabi, Kharif"
31.78,59.11,Black,Pulses,"Rabi, Kharif"
32.11,71.08,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
36.82,57.69,Red,Barley,"Rabi, Kharif, Zaid, Summer"
25.12,64.48,Sandy,Wheat,Rabi
28.17,50.1,Sandy,Cotton,Kharif
38.04,62.28,Clayey,Pulses,"Rabi, Kharif"
31.55,53.02,Clayey,Cotton,Kharif
29.14,59.77,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
24.6,51.17,Clayey,Wheat,Rabi
28.87,57.65,Black,Barley,"Rabi, Kharif, Zaid, Summer"
28.85,58.79,Sandy,Cotton,Kharif
33.72,61.76,Clayey,Maize,"Kharif, Rabi, Summer"
30.63,60.56,Black,Maize,"Kharif, Rabi, Summer"
27.05,50.1,Sandy,Maize,"Kharif, Rabi, Summer"
30.17,59.06,Loamy,Cotton,Kharif
40.0,67.75,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
38.33,58.9,Clayey,Cotton,Kharif
26.86,46.9,Clayey,Wheat,Rabi
33.04,56.04,Black,Maize,"Kharif, Rabi, Summer"
30.11,48.12,Red,Maize,"Kharif, Rabi, Summer"
20.3,44.44,Loamy,Pulses,"Rabi, Kharif"
32.86,68.29,Black,Maize,"Kharif, Rabi, Summer"
31.57,59.49,Loamy,Wheat,Rabi
33.92,70.37,Sandy,Cotton,Kharif
23.64,54.21,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
35.48,68.25,Clayey,Wheat,Rabi
39.21,74.83,Sandy,Wheat,Rabi
30.26,42.39,Black,Wheat,Rabi
27.72,47.55,Sandy,Wheat,Rabi
37.43,61.49,Red,Pulses,"Rabi, Kharif"
29.62,57.58,Clayey,Pulses,"Rabi, Kharif"
23.6,46.17,Red,Cotton,Kharif
38.26,65.76,Black,Pulses,"Rabi, Kharif"
36.67,66.99,Clayey,Pulses,"Rabi, Kharif"
32.15,59.62,Red,Wheat,Rabi
36.28,57.76,Clayey,Pulses,"Rabi, Kharif"
36.03,68.01,Red,Barley,"Rabi, Kharif, Zaid, Summer"
26.79,51.89,Sandy,Maize,"Kharif, Rabi, Summer"
23.96,52.37,Sandy,Maize,"Kharif, Rabi, Summer"
36.64,64.68,Black,Wheat,Rabi
33.21,79.62,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
24.83,54.28,Clayey,Maize,"Kharif, Rabi, Summer"
35.36,66.71,Sandy,Wheat,Rabi
32.94,58.58,Red,Barley,"Rabi, Kharif, Zaid, Summer"
29.13,62.34,Red,Wheat,Rabi
23.49,45.84,Clayey,Wheat,Rabi
24.41,56.8,Sandy,Cotton,Kharif
27.17,69.52,Sandy,Maize,"Kharif, Rabi, Summer"
35.51,72.18,Loamy,Maize,"Kharif, Rabi, Summer"
35.09,72.5,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
27.42,62.06,Clayey,Maize,"Kharif, Rabi, Summer"
34.32,59.44,Loamy,Cotton,Kharif
26.61,43.26,Clayey,Cotton,Kharif
29.58,56.08,Red,Cotton,Kharif
35.14,58.65,Sandy,Pulses,"Rabi, Kharif"
29.99,52.36,Black,Pulses,"Rabi, Kharif"
29.62,67.51,Clayey,Wheat,Rabi
24.59,58.67,Sandy,Cotton,Kharif
38.92,59.35,Clayey,Cotton,Kharif
24.95,54.7,Sandy,Wheat,Rabi
24.75,49.42,Clayey,Cotton,Kharif
34.76,66.83,Clayey,Wheat,Rabi
34.36,59.48,Sandy,Maize,"Kharif, Rabi, Summer"
33.1,52.18,Red,Wheat,Rabi
22.53,60.17,Loamy,Pulses,"Rabi, Kharif"
28.76,54.72,Red,Wheat,Rabi
25.72,60.71,Clayey,Wheat,Rabi
29.16,50.01,Clayey,Maize,"Kharif, Rabi, Summer"
27.65,55.35,Black,Pulses,"Rabi, Kharif"
28.03,53.76,Sandy,Wheat,Rabi
29.86,59.28,Sandy,Maize,"Kharif, Rabi, Summer"
23.9,44.45,Red,Barley,"Rabi, Kharif, Zaid, Summer"
30.2,57.56,Loamy,Wheat,Rabi
21.51,55.9,Clayey,Maize,"Kharif, Rabi, Summer"
29.54,54.73,Loamy,Pulses,"Rabi, Kharif"
25.34,51.56,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
34.03,61.12,Clayey,Cotton,Kharif
30.88,56.44,Sandy,Maize,"Kharif, Rabi, Summer"
30.9,68.66,Clayey,Wheat,Rabi
27.11,66.09,Black,Wheat,Rabi
27.18,59.42,Clayey,Pulses,"Rabi, Kharif"
30.72,62.41,Sandy,Barley,"Rabi, Kharif, Zaid, Summer"
25.98,51.85,Black,Pulses,"Rabi, Kharif"
28.26,50.41,Clayey,Barley,"Rabi, Kharif, Zaid, Summer"
37.61,60.54,Loamy,Maize,"Kharif, Rabi, Summer"
35.04,69.99,Black,Pulses,"Rabi, Kharif"
35.43,73.21,Loamy,Wheat,Rabi
21.05,45.03,Red,Cotton,Kharif
27.48,47.09,Black,Cotton,Kharif
38.11,69.4,Black,Wheat,Rabi
35.38,55.86,Sandy,Pulses,"Rabi, Kharif"
40.0,75.03,Black,Pulses,"Rabi, Kharif"
40.0,74.84,Sandy,Cotton,Kharif
29.44,50.92,Loamy,Barley,"Rabi, Kharif, Zaid, Summer"
27.44,54.73,Clayey,Maize,"Kharif, Rabi, Summer"
29.5,69.16,Loamy,Cotton,Kharif
31.36,52.48,Loamy,Cotton,Kharif
36.49,75.76,Black,Wheat,Rabi
25.35,50.13,Red,Maize,"Kharif, Rabi, Summer"
